__EMPTY,Cliente master,Id cliente,Cliente,Cnpj,Status cliente,Classificação,Time,Cidade do cliente,UF,distancia_postgis_km,Distância em KM,latitude,longitude
0,,4,PX - Painel,999999,,,,Joinville,SC,0.00081034068,10,-26.3044898,-48.8486726
1,,326,TRANSPORTADORA RICA BOT,44.324.531/0001-05,,,,Joinville,SC,0.04698502079,10,-26.3044898,-48.8486726
2,,4892,Cepan Administradora de Bens LTDA,04.385.937/0001-83,Recorrente,MEDIAS EMPRESAS,PERCIVAL,Joinville,SC,0.04698502079,10,-26.3044898,-48.8486726
3,,161,GAV TRANSPORTES (ASSOCIADO COOPER),18.368.865/0001-70,Churn,MEDIAS EMPRESAS,LUCAN,Joinville,SC,2.31175375763,10,-26.3044898,-48.8486726
4,,3880,Grupo Amancio Construtora,20.340.902/0001-84,Inativo,ROTA DE SUCESSO,BRASTIAS,Joinville,SC,2.67606998737,10,-26.3044898,-48.8486726
5,,2339,AT Transportes LTDA,44.748.687/0001-13,Recorrente,MEDIAS EMPRESAS,LUCAN,Joinville,SC,2.71875609823,10,-26.3044898,-48.8486726
6,,447,Natal Comercio de Combustiveis,20.630.766/0001-67,Churn,MEDIAS EMPRESAS,LUCAN,Joinville,SC,2.84708364712,10,-26.3044898,-48.8486726
7,TRANSLIGUE TRANSPORTES E SERVIÇOS LTDA,2326,TRANSLIGUE TRANSPORTES - JOINVILLE,03.629.957/0002-70,Inativo,GRANDES EMPRESAS,GAWAIN,Joinville,SC,3.33446835948,10,-26.3044898,-48.8486726
8,,2810,Log Certo Transportes,38.048.974/0001-18,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
9,,5889,Efitrans Joinville,00.650.831/0006-13,Inativo,ROTA DE SUCESSO,HECTOR,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
10,,10,Wilson Steingraber Transportes Ltda,00.971.833/0001-08,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
11,,1025,Aliança Transportes,22.939.519/0002-53,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
12,,3462,TrPedroso transportes ltda,56.976.286/0001-08,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
13,,430,Transjoi Transportes Ltda,83.630.053/0001-13,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
14,,3554,Teste Cadastro PX,84.964.207/0001-76,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
15,,25,Efitrans Transportes Ltda,00.650.831/0001-09,Ativo,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
16,,2013,MARGEM COMPANHIA DE MINERACAO,06.635.659/0017-68,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
17,,2018,FKS LOGISTICS,17.353.801/0003-03,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
18,,733,MFSERVICES,47.929.775/0001-00,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
19,,2162,Orlando Dunquer Junior,48.037.008/0001-59,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
20,OPERAÇÕES AMBEV - NEPOMUCENO,506,Nepomuceno,12.345.123/4512-34,,GRANDES EMPRESAS,SAGRAMORE,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
21,,290,Transportadora Agua Viva,01.638.623/0001-57,Churn,MEDIAS EMPRESAS,BEDIVERE,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
22,,4118,TOSKY TRANSPORTES LTDA,30.002.383/0001-06,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
23,,4147,UZZYLOG TRANSPORTES,54.193.342/0001-02,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
24,,2321,Sattelite Logística,46.660.033/0001-69,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
25,,2818,Transfoquinha,49.713.736/0001-04,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
26,MOVECTA S.A,4296,MOVECTA ITAJAÍ - AG,58.317.751/0015-11,,GRANDES EMPRESAS,YVAIN,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
27,,4917,Godi Transportes,47.227.873/0001-03,Inativo,ROTA DE SUCESSO,LEODAGAN,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
28,,4906,Security PX,53.961.415/0001-98,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
29,,614,transportadora de teste,14.409.658/0001-66,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
30,,148,Açolog serviços de transportes de logística Ltda,06.238.738/0001-78,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
31,,2352,Eduardo Dias Junior,31.169.443/0001-34,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
32,,2355,MB USINAGEM INDUSTRIAL LTDA,02.596.178/0001-72,,,,Joinville,SC,3.35892488752,10,-26.3044898,-48.8486726
